1 1:0 2:0 3:0 4:0 5:1 6:3 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:1 7:0 8:1 9:0
1 1:0 2:0 3:0 4:0 5:1 6:1 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:1 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:4 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:1 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:3 7:0 8:0 9:0
1 1:0 2:0 3:0 4:1 5:1 6:1 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:2 7:0 8:0 9:0
1 1:0 2:0 3:0 4:1 5:1 6:5 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:4 7:0 8:0 9:0
1 1:0 2:0 3:0 4:2 5:1 6:4 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:2 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:2 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:5 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:3 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:5 7:0 8:2 9:0
1 1:0 2:0 3:0 4:0 5:1 6:1 7:0 8:0 9:0
1 1:1 2:0 3:0 4:0 5:1 6:2 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:3 7:0 8:1 9:0
1 1:0 2:0 3:0 4:0 5:1 6:5 7:0 8:0 9:0
1 1:1 2:0 3:0 4:0 5:1 6:4 7:0 8:1 9:0
1 1:0 2:0 3:0 4:0 5:1 6:1 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:3 7:0 8:0 9:0
1 1:1 2:0 3:0 4:0 5:1 6:5 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:3 7:0 8:0 9:0
1 1:0 2:0 3:0 4:3 5:1 6:4 7:0 8:2 9:0
1 1:0 2:0 3:0 4:1 5:1 6:4 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:2 7:0 8:2 9:0
1 1:0 2:0 3:0 4:2 5:1 6:2 7:0 8:1 9:0
1 1:0 2:0 3:0 4:0 5:1 6:2 7:0 8:0 9:0
1 1:0 2:1 3:2 4:0 5:1 6:4 7:0 8:0 9:0
1 1:0 2:0 3:0 4:3 5:1 6:5 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:6 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:10 7:0 8:0 9:0
1 1:0 2:0 3:0 4:2 5:1 6:7 7:0 8:0 9:0
1 1:0 2:0 3:7 4:2 5:1 6:1 7:0 8:0 9:0
1 1:0 2:0 3:3 4:0 5:1 6:4 7:0 8:0 9:0
1 1:0 2:1 3:0 4:1 5:1 6:5 7:0 8:2 9:0
1 1:1 2:0 3:2 4:2 5:1 6:6 7:0 8:0 9:0
1 1:0 2:0 3:0 4:2 5:1 6:5 7:0 8:0 9:0
1 1:0 2:1 3:2 4:0 5:1 6:4 7:0 8:0 9:0
1 1:0 2:0 3:0 4:0 5:1 6:5 7:0 8:0 9:0
1 1:0 2:1 3:1 4:0 5:1 6:5 7:0 8:0 9:0
